file|version|field|type|order
Fund|1|Deleted|boolean|5
TableEntry|1|TenantId|string-255|0
TableEntry|1|TableEntryId|integer|1
TableEntry|1|CodeTableId|integer|2
TableEntry|1|Entry|string-255|3
TableEntry|1|Description|string-255|4
TableEntry|1|IsSystemEntry|boolean|5
TableEntry|1|IsActive|boolean|6
TableEntry|1|StaticEntryId|integer|7
TableEntry|1|Deleted|boolean|8
AccountCode|1|TenantId|string-255|0
AccountCode|1|AccountCodeId|integer|1
AccountCode|1|AccountCode|string-255|2
AccountCode|1|Description|string-255|3
AccountCode|1|Deleted|boolean|4
Project|1|TenantId|string-255|0
Project|1|ProjectId|integer|1
Project|1|UserId|string-255|2
Project|1|Description|string-255|3
Project|1|StatusId|integer|4
Project|1|TypeId|integer|5
Project|1|ActiveFlag|integer|6
Project|1|ActiveFlagTranslation|string-255|7
Project|1|AddedById|integer|8
Project|1|DateAdded|datetime|9
Project|1|LastChangedById|integer|10
Project|1|DateChanged|datetime|11
Project|1|DivisionId|integer|12
Project|1|DepartmentId|integer|13
Project|1|LocationId|integer|14
Project|1|Deleted|boolean|15
ProjectBudget|1|TenantId|string-255|0
ProjectBudget|1|ProjectBudgetId|integer|1
ProjectBudget|1|AccountBudgetId|integer|2
ProjectBudget|1|Amount|decimal-19-4|3
ProjectBudget|1|AccountId|integer|4
ProjectBudget|1|ProjectId|integer|5
ProjectBudget|1|TransactionCodeId|integer|6
ProjectBudget|1|Deleted|boolean|7
ProjectBudgetDetail|1|TenantId|string-255|0
ProjectBudgetDetail|1|ProjectBudgetDetailId|integer|1
ProjectBudgetDetail|1|ProjectBudgetId|integer|2
ProjectBudgetDetail|1|FiscalPeriodId|integer|3
ProjectBudgetDetail|1|Amount|decimal-19-4|4
ProjectBudgetDetail|1|Deleted|boolean|5
FiscalYear|1|TenantId|string-255|0
FiscalYear|1|FiscalYearId|integer|1
FiscalYear|1|YearId|string-255|2
FiscalYear|1|Description|string-255|3
FiscalYear|1|Status|integer|4
FiscalYear|1|StatusTranslation|string-255|5
FiscalYear|1|IsSummarized|boolean|6
FiscalYear|1|FiscalPeriods|integer|7
FiscalYear|1|DateCloseLastRun|datetime|8
FiscalYear|1|CloseLastRunById|integer|9
FiscalYear|1|DateSummarizeLastRun|datetime|10
FiscalYear|1|SummarizeLastRunById|integer|11
FiscalYear|1|DatePurgeLastRun|datetime|12
FiscalYear|1|PurgeLastRunById|integer|13
FiscalYear|1|Deleted|boolean|14
FiscalPeriod|1|TenantId|string-255|0
FiscalPeriod|1|FiscalPeriodId|integer|1
FiscalPeriod|1|StartDate|datetime|2
FiscalPeriod|1|EndDate|datetime|3
FiscalPeriod|1|IsClosed|boolean|4
FiscalPeriod|1|FiscalyearId|integer|5
FiscalPeriod|1|Sequence|integer|6
FiscalPeriod|1|Deleted|boolean|7
AccountBudget|1|TenantId|string-255|0
AccountBudget|1|AccountBudgetId|integer|1
AccountBudget|1|BudgetScenarioId|integer|2
AccountBudget|1|AccountId|integer|3
AccountBudget|1|Amount|decimal-19-4|4
AccountBudget|1|AddedById|integer|5
AccountBudget|1|DateAdded|datetime|6
AccountBudget|1|LastChangedById|integer|7
AccountBudget|1|DateChanged|datetime|8
AccountBudget|1|Deleted|boolean|9
BudgetScenario|1|TenantId|string-255|0
BudgetScenario|1|BudgetScenarioId|integer|1
BudgetScenario|1|ScenarioId|integer|2
BudgetScenario|1|FiscalYearId|integer|3
BudgetScenario|1|Status|integer|4
BudgetScenario|1|StatusTranslation|string-255|5
BudgetScenario|1|IsLocked|boolean|6
BudgetScenario|1|AddedById|integer|7
BudgetScenario|1|DateAdded|datetime|8
BudgetScenario|1|LastChangedById|integer|9
BudgetScenario|1|DateChanged|datetime|10
BudgetScenario|1|LastFinalizedOn|datetime|11
BudgetScenario|1|LastFinalizedBy|integer|12
BudgetScenario|1|BudgetType|integer|13
BudgetScenario|1|BudgetTypeTranslation|string-255|14
BudgetScenario|1|EndFiscalYearId|integer|15
BudgetScenario|1|StartFiscalPeriodId|integer|16
BudgetScenario|1|EndFiscalPeriodId|integer|17
BudgetScenario|1|Deleted|boolean|18
AccountBudgetDetail|1|TenantId|string-255|0
AccountBudgetDetail|1|AccountBudgetDetailId|integer|1
AccountBudgetDetail|1|FiscalPeriodId|integer|2
AccountBudgetDetail|1|AccountBudgetId|integer|3
AccountBudgetDetail|1|Amount|decimal-19-4|4
AccountBudgetDetail|1|Deleted|boolean|5
Grant|1|TenantId|string-255|0
Grant|1|GrantId|integer|1
Grant|1|GrantUserId|string-255|2
Grant|1|Description|string-255|3
Grant|1|TypeId|integer|4
Grant|1|StatusId|integer|5
Grant|1|TransactionCodeId|integer|6
Grant|1|GrantAmount|decimal-19-4|7
Grant|1|StartDate|datetime|8
Grant|1|EndDate|datetime|9
Grant|1|AddedById|integer|10
Grant|1|DateAdded|datetime|11
Grant|1|LastChangedById|integer|12
Grant|1|DateChanged|datetime|13
Grant|1|Deleted|boolean|14
Transaction|1|TenantId|string-255|0
Transaction|1|TransactionId|integer|1
Transaction|1|BatchId|integer|2
Transaction|1|PostStatus|integer|3
Transaction|1|PostStatusTranslation|string-255|4
Transaction|1|AccountId|integer|5
Transaction|1|PostDate|datetime|6
Transaction|1|FiscalPeriodId|integer|7
Transaction|1|TransactionType|integer|8
Transaction|1|TransactionTypeTranslation|string-255|9
Transaction|1|Amount|decimal-19-4|10
Transaction|1|Reference|string-255|11
Transaction|1|JournalId|integer|12
Transaction|1|EncumbranceStatus|integer|13
Transaction|1|EncumbranceStatusTranslation|string-255|14
Transaction|1|ReverseDate|datetime|15
Transaction|1|ReversedTransactionId|integer|16
Transaction|1|TransactionNumber|string-255|17
Transaction|1|SourceRecordId|integer|18
Transaction|1|SourceNumber|string-255|19
Transaction|1|SourceType|integer|20
Transaction|1|SourceSystemMask|integer|21
Transaction|1|AddedById|integer|22
Transaction|1|DateAdded|datetime|23
Transaction|1|LastChangedById|integer|24
Transaction|1|DateChanged|datetime|25
Transaction|1|Deleted|boolean|26
TransactionDistribution|1|TenantId|string-255|0
TransactionDistribution|1|TranDistributionId|integer|1
TransactionDistribution|1|TransactionId|integer|2
TransactionDistribution|1|Projectid|integer|3
TransactionDistribution|1|ClassId|integer|4
TransactionDistribution|1|Amount|decimal-19-4|5
TransactionDistribution|1|Comment|string-255|6
TransactionDistribution|1|TransactionCode1Id|integer|7
TransactionDistribution|1|TransactionCode2Id|integer|8
TransactionDistribution|1|TransactionCode3Id|integer|9
TransactionDistribution|1|TransactionCode4Id|integer|10
TransactionDistribution|1|TransactionCode5Id|integer|11
TransactionDistribution|1|GrantId|integer|12
TransactionDistribution|1|Deleted|boolean|13
GLBatch|1|TenantId|string-255|0
GLBatch|1|BatchId|integer|1
GLBatch|1|BatchNumber|integer|2
GLBatch|1|Status|integer|3
GLBatch|1|StatusTranslation|string-255|4
GLBatch|1|Description|string-255|5
GLBatch|1|Notes|string-255|6
GLBatch|1|AddedById|integer|7
GLBatch|1|DateAdded|datetime|8
GLBatch|1|LastChangedById|integer|9
GLBatch|1|DateChanged|datetime|10
GLBatch|1|PostedById|integer|11
GLBatch|1|DatePosted|datetime|12
GLBatch|1|DeletedById|integer|13
GLBatch|1|DateDeleted|datetime|14
GLBatch|1|ApprovedById|integer|15
GLBatch|1|DateApproved|datetime|16
GLBatch|1|Deleted|boolean|17
Vendor|1|TenantId|string-255|0
Vendor|1|VendorId|integer|1
Vendor|1|UserDefinedId|string-255|2
Vendor|1|VendorName|string-255|3
Vendor|1|CustomerNumber|string-255|4
Vendor|1|Status|integer|5
Vendor|1|StatusTranslation|string-255|6
Vendor|1|VendorUserId|string-255|7
Vendor|1|AddedById|integer|8
Vendor|1|DateAdded|datetime|9
Vendor|1|LastChangedById|integer|10
Vendor|1|DateChanged|datetime|11
Vendor|1|BankId|integer|12
Vendor|1|VendorNameForDisplay|string-255|13
Vendor|1|UserDefinedIdNumeric|decimal-19-4|14
Vendor|1|VendorType|integer|15
Vendor|1|VendorTypeTranslation|string-255|16
Vendor|1|Deleted|boolean|17
Bank|1|TenantId|string-255|0
Bank|1|BankId|integer|1
Bank|1|AccountName|string-255|2
Bank|1|Description|string-255|3
Bank|1|AccountType|integer|4
Bank|1|AccountTypeTranslation|string-255|5
Bank|1|Status|integer|6
Bank|1|StatusTranslation|string-255|7
Bank|1|BankName|string-255|8
Bank|1|IsReconciled|boolean|9
Bank|1|DateLastReconciled|datetime|10
Bank|1|LastReconciledById|integer|11
Bank|1|ReconciledBalance|decimal-19-4|12
Bank|1|AddedById|integer|13
Bank|1|DateAdded|datetime|14
Bank|1|LastChangedById|integer|15
Bank|1|DateChanged|datetime|16
Bank|1|Deleted|boolean|17
Invoice|1.2|TenantId|string-255|0
Invoice|1.2|InvoiceId|integer|1
Invoice|1.2|VendorId|integer|2
Invoice|1.2|InvoiceNumber|string-255|3
Invoice|1.2|Status|integer|4
Invoice|1.2|StatusTranslation|string-255|5
Invoice|1.2|Description|string-255|6
Invoice|1.2|Amount|decimal-19-4|7
Invoice|1.2|Date|datetime|8
Invoice|1.2|DueDate|datetime|9
Invoice|1.2|PostStatus|integer|10
Invoice|1.2|PostStatusTranslation|string-255|11
Invoice|1.2|PostDate|datetime|12
Invoice|1.2|ReversePostStatus|integer|13
Invoice|1.2|ReversePostStatusTranslation|string-255|14
Invoice|1.2|ReversePostDate|datetime|15
Invoice|1.2|DiscountAmount|decimal-19-4|16
Invoice|1.2|DiscountExpirationDate|datetime|17
Invoice|1.2|PaymentMethod|integer|18
Invoice|1.2|PaymentMethodTranslation|string-255|19
Invoice|1.2|TotalCreditApplied|decimal-19-4|20
Invoice|1.2|Balance|decimal-19-4|21
Invoice|1.2|BB_Deleted|integer|22
Invoice|1.2|AddedById|integer|23
Invoice|1.2|DateAdded|datetime|24
Invoice|1.2|LastChangedById|integer|25
Invoice|1.2|DateChanged|datetime|26
Invoice|1.2|BankId|integer|27
Invoice|1.2|TaxAmount|decimal-19-4|28
Invoice|1.2|RebateAmount|decimal-19-4|29
Invoice|1.2|TaxBalance|decimal-19-4|30
Invoice|1.2|Deleted|boolean|31
Invoice|1.2|HoldPayment|boolean|32
CreditMemo|1|TenantId|string-255|0
CreditMemo|1|CreditMemoId|integer|1
CreditMemo|1|Amount|decimal-19-4|2
CreditMemo|1|CreditApplied|decimal-19-4|3
CreditMemo|1|Number|string-255|4
CreditMemo|1|Status|integer|5
CreditMemo|1|StatusTranslation|string-255|6
CreditMemo|1|AddedById|integer|7
CreditMemo|1|DateAdded|datetime|8
CreditMemo|1|LastChangedById|integer|9
CreditMemo|1|DateChanged|datetime|10
CreditMemo|1|BB_Deleted|integer|11
CreditMemo|1|Description|string-255|12
CreditMemo|1|PostDate|datetime|13
CreditMemo|1|PostStatus|integer|14
CreditMemo|1|PostStatusTranslation|string-255|15
CreditMemo|1|ReverseDate|datetime|16
CreditMemo|1|VendorId|integer|17
CreditMemo|1|Date|datetime|18
CreditMemo|1|ReversePostStatus|integer|19
CreditMemo|1|ReversePostStatusTranslation|string-255|20
CreditMemo|1|RebateAmount|decimal-19-4|21
CreditMemo|1|Deleted|boolean|22
User|1|TenantId|string-255|0
User|1|UserId|integer|1
User|1|IsSupervisor|boolean|2
User|1|Name|string-255|3
User|1|Description|string-255|4
User|1|Inactive|boolean|5
User|1|HasSupervisorRights|boolean|6
User|1|ViewOnly|boolean|7
User|1|Deleted|boolean|8
BBDistribution|1|TenantId|string-255|0
BBDistribution|1|DistributionId|integer|1
BBDistribution|1|ParentId|integer|2
BBDistribution|1|SystemMask|integer|3
BBDistribution|1|ParentObjectType|integer|4
BBDistribution|1|RowNumber|integer|5
BBDistribution|1|Amount|decimal-19-4|6
BBDistribution|1|Interfund|integer|7
BBDistribution|1|TransactionId|integer|8
BBDistribution|1|AccountsId|integer|9
BBDistribution|1|TransactionType|integer|10
BBDistribution|1|TransactionTypeTranslation|string-255|11
BBDistribution|1|DistributionType|integer|12
BBDistribution|1|DistributionTypeTranslation|string-255|13
BBDistribution|1|Description|string-255|14
BBDistribution|1|Deleted|boolean|15
BBTransactionDistribution|1|TenantId|string-255|0
BBTransactionDistribution|1|TransactionDistributionId|integer|1
BBTransactionDistribution|1|DistributionId|integer|2
BBTransactionDistribution|1|Amount|decimal-19-4|3
BBTransactionDistribution|1|ProjectId|integer|4
BBTransactionDistribution|1|TransactionCode1Id|integer|5
BBTransactionDistribution|1|TransactionCode2Id|integer|6
BBTransactionDistribution|1|TransactionCode3Id|integer|7
BBTransactionDistribution|1|TransactionCode4Id|integer|8
BBTransactionDistribution|1|TransactionCode5Id|integer|9
BBTransactionDistribution|1|ClassId|integer|10
BBTransactionDistribution|1|Comment|string-255|11
BBTransactionDistribution|1|TranDistributionId|integer|12
BBTransactionDistribution|1|Deleted|boolean|13
Tenant|1|TenantId|string-255|0
Tenant|1|SerialNumber|string-255|1
Tenant|1|TransactionCode1Name|string-255|2
Tenant|1|TransactionCode2Name|string-255|3
Tenant|1|TransactionCode3Name|string-255|4
Tenant|1|TransactionCode4Name|string-255|5
Tenant|1|TransactionCode5Name|string-255|6
Tenant|1|AccountSegment1Name|string-255|7
Tenant|1|AccountSegment2Name|string-255|8
Tenant|1|AccountSegment3Name|string-255|9
Tenant|1|AccountSegment4Name|string-255|10
Tenant|1|AccountSegment5Name|string-255|11
Tenant|1|AccountSegment6Name|string-255|12
Tenant|1|AccountSegment7Name|string-255|13
Tenant|1|AccountSegment8Name|string-255|14
Tenant|1|DataUpdated|string-255|15
Tenant|1|FundName|string-255|16
Tenant|1|ProjectName|string-255|17
Tenant|1|GrantName|string-255|18
Tenant|1|FederalId|string-255|19
Tenant|1|ChangeTrackingVersion|string-255|20
AccountSegmentValue|1|TenantId|string-255|0
AccountSegmentValue|1|AccountId|integer|1
AccountSegmentValue|1|SegmentId|integer|2
AccountSegmentValue|1|SegmentName|string-255|3
AccountSegmentValue|1|AccountSegmentValue|string-255|4
AccountSegmentValue|1|Deleted|boolean|5
AccountSegmentValue|1|Description|string-255|6
SummarizedTransaction|1|TenantId|string-255|0
SummarizedTransaction|1|SummaryId|integer|1
SummarizedTransaction|1|AccountId|integer|2
SummarizedTransaction|1|ProjectId|integer|3
SummarizedTransaction|1|PostStatus|integer|4
SummarizedTransaction|1|PostStatusTranslation|string-255|5
SummarizedTransaction|1|PostDate|datetime|6
SummarizedTransaction|1|FiscalPeriodId|integer|7
SummarizedTransaction|1|FiscalYearId|integer|8
SummarizedTransaction|1|TransactionType|integer|9
SummarizedTransaction|1|TransactionTypeTranslation|string-255|10
SummarizedTransaction|1|Amount|decimal-19-4|11
SummarizedTransaction|1|EncumbranceStatus|integer|12
SummarizedTransaction|1|EncumbranceStatusTranslation|string-255|13
SummarizedTransaction|1|TransactionCode1|string-255|14
SummarizedTransaction|1|TransactionCode2|string-255|15
SummarizedTransaction|1|TransactionCode3|string-255|16
SummarizedTransaction|1|TransactionCode4|string-255|17
SummarizedTransaction|1|TransactionCode5|string-255|18
SummarizedTransaction|1|Class|string-255|19
CheckHistory|1|TenantId|string-255|0
CheckHistory|1|CheckHistoryId|integer|1
CheckHistory|1|CheckNumber|integer|2
CheckHistory|1|VendorName|string-255|3
CheckHistory|1|FieldChanged|integer|4
CheckHistory|1|FieldChangedTranslation|string-255|5
CheckHistory|1|OldValue|string-255|6
CheckHistory|1|NewValue|string-255|7
CheckHistory|1|DateChanged|datetime|8
CheckHistory|1|PostStatus|string-255|9
CheckHistory|1|BankId|integer|10
CheckHistory|1|ChangedByUserId|integer|11
CheckHistory|1|Deleted|boolean|12
CheckHistory|1|CheckDbId|integer|13
CheckHistory|1|DrillInID|integer|14
ARClient|1|TenantId|string-255|0
ARClient|1|ARClientId|integer|1
ARClient|1|ARClientType|string-255|2
ARClient|1|ARClientDisplayName|string-255|3
ARClient|1|ARClientCFDANumber|string-255|4
ARClient|1|AddedByUserId|integer|5
ARClient|1|dateadded|datetime|6
ARClient|1|datechanged|datetime|7
ARClient|1|Deleted|boolean|8
ARCharge|1|TenantId|string-255|0
ARCharge|1|ARChargeId|integer|1
ARCharge|1|ARChargeType|string-255|2
ARCharge|1|ARChargeInvoiceId|integer|3
ARCharge|1|ARChargeLineItemSequence|integer|4
ARCharge|1|ARChargePostStatus|string-255|5
ARCharge|1|ARChargePaymentStatus|string-255|6
ARCharge|1|ARChargeItemDescription|string-255|7
ARCharge|1|ARChargeAmount|decimal-19-4|8
ARCharge|1|ARChargeBalance|decimal-19-4|9
ARCharge|1|ARClientId|integer|10
ARCharge|1|datechanged|datetime|11
ARCharge|1|dateadded|datetime|12
ARCharge|1|postdate|datetime|13
ARCharge|1|duedate|datetime|14
ARCharge|1|Deleted|boolean|15
ARClientAmount|1|TenantId|string-255|0
ARClientAmount|1|ClientId|integer|1
ARClientAmount|1|Amount|decimal-19-4|2
ProjectBalance|1|TenantId|string-255|0
ProjectBalance|1|ProjectBalanceId|string-255|1
ProjectBalance|1|FiscalPeriodId|integer|2
ProjectBalance|1|ProjectId|integer|3
ProjectBalance|1|Balance|decimal-19-4|4
ProjectBalance|1|AddBalance|decimal-19-4|5
ProjectBalance|1|EncumberanceType|string-255|6
ProjectBalance|1|AccountId|integer|7
ProjectBalance|1|PostStatus|string-255|8
CCTransaction|1.1|TenantId|string-255|0
CCTransaction|1.1|CreditCardTransactionId|integer|1
CCTransaction|1.1|TransactionId|integer|2
CCTransaction|1.1|YodleeAccountId|integer|3
CCTransaction|1.1|Amount|decimal-19-4|4
CCTransaction|1.1|Description|string-255|5
CCTransaction|1.1|TranNumber|string-255|6
CCTransaction|1.1|TranType|string-255|7
CCTransaction|1.1|TranDate|datetime|8
CCTransaction|1.1|SimpleDescription|string-255|9
CCTransaction|1.1|MerchantName|string-255|10
CCTransaction|1.1|Status|string-255|11
CCTransaction|1.1|MeerKatTxnType|string-255|12
CCTransaction|1.1|PostDate|datetime|13
CCTransaction|1.1|CategoryName|string-255|14
CCTransaction|1.1|TransFlag|string-255|15
CCTransaction|1.1|DateAdded|datetime|16
CCTransaction|1.1|AddedById|integer|17
CCTransaction|1.1|DateChanged|datetime|18
CCTransaction|1.1|LastChangedById|integer|19
CCTransaction|1.1|InvoiceId|integer|20
CCTransaction|1.1|Comment|string-255|21
CCTransaction|1.1|AdjustmentId|integer|22
CCTransaction|1.1|Er2InvoiceRequestsId|integer|23
CCTransaction|1.1|Deleted|boolean|24
CCAccount|1.1|TenantId|string-255|0
CCAccount|1.1|YodleeAccountIdId|integer|1
CCAccount|1.1|ItemId|integer|2
CCAccount|1.1|ItemAccountId|integer|3
CCAccount|1.1|SiteAccountId|integer|4
CCAccount|1.1|Bank|string-255|5
CCAccount|1.1|BanksId|integer|6
CCAccount|1.1|AccountName|string-255|7
CCAccount|1.1|MaskedAccountNumber|string-255|8
CCAccount|1.1|AccountType|string-255|9
CCAccount|1.1|LatestBalance|decimal-19-4|10
CCAccount|1.1|LastUpdate|datetime|11
CCAccount|1.1|ReconciliationBalance|decimal-19-4|12
CCAccount|1.1|ReconciliationDate|datetime|13
CCAccount|1.1|DateAdded|datetime|14
CCAccount|1.1|LastDownload|datetime|15
CCAccount|1.1|SiteId|integer|16
CCAccount|1.1|BankSubsidiaryCardsId|integer|17
CCAccount|1.1|StartDownloadAsOf|datetime|18
CCAccount|1.1|Deleted|boolean|19
BankSubsidiaryCards|1.1|TenantId|string-255|0
BankSubsidiaryCards|1.1|BankSubsidiaryCardsId|integer|1
BankSubsidiaryCards|1.1|BanksId|integer|2
BankSubsidiaryCards|1.1|CardHolder|string-255|3
BankSubsidiaryCards|1.1|Number|string-255|4
BankSubsidiaryCards|1.1|IsActive|boolean|5
BankSubsidiaryCards|1.1|AccountName|string-255|6
BankSubsidiaryCards|1.1|Deleted|boolean|7
